題目,答案
聖經最長是哪卷？,詩篇
聖經第二長是哪卷？,以賽亞書
上帝應許誰的子孫多如天上星地上沙？,亞伯拉罕
摩押人的祖宗摩押是誰的兒子？,羅得
舊約時代兩個活著被提的人是誰？,以諾、以利亞
耶穌登山變像時誰顯現與祂說話？,摩西、以利亞
耶穌生於什麼地方？,伯利恒
東方博士拜主時獻上哪些禮物？,黃金、乳香、沒藥
施洗約翰的父親叫什麼名字？,撒迦利亞
耶穌最先召的4個門徒叫什麼？,彼得、安得烈、雅各、約翰
今天的人類是亞當哪個兒子的後裔？,塞特
聖經最長是哪章？,詩篇119篇
聖經最短是哪章？,詩篇117篇
聖經一共有多少章？,1189章
耶穌登山變像時帶誰同去？,彼得、雅各、約翰
進迦南後的以色列人攻佔的頭一座城是什麼城？,耶利哥
以色列人進迦南時誤與什麼人立約？,基遍人
約翰福音那位「主所愛的門徒」是誰？,約翰
耶穌有多少次清楚預言自己受死復活？,3次
約翰福音中記載耶穌行了幾個神跡？,8個
馬太原從事何職？,稅吏
撒母耳的母親名叫什麼？,哈拿
耶穌出自以色列哪個支派？,猶大
啟示錄的作者是誰？,約翰
哪位先知被扔進獅子坑卻平安？,但以理
哪位先知被大魚吞入腹卻平安？,約拿
聖殿是哪位以色列王建造的？,所羅門
以色列這個人又名什麼？,雅各
大衛的曾祖母路得原是哪國人？,摩押
哪位先知被稱為烈火先知？,以利亞
哪位先知被稱為流淚的先知？,耶利米
誰與天使摔跤，並且「得勝」？,雅各
誰為一碗紅豆湯出賣長子的名份？,以掃
第一位以「羊」為「祭」，獻給上帝的人是誰？,亞伯
四福音都有記載耶穌所行的唯一神蹟是哪件？,五餅二魚
大衛軍隊的元帥是誰？,約押
聖靈在什麼時候降臨在門徒身上？,五旬節
聖經有二卷是以女子的名字冠名的，是哪二卷？,路得記、以斯帖記
已知名的聖經作者中，唯一一位外邦人是誰？,路加
見證耶穌是「神的羔羊」的是誰？,施洗約翰
聖經中，記有三次動物說話，是哪三件？……蛇、驢、鷹,
誰為耶穌施洗？,施洗約翰
誰為保羅施洗？,亞拿尼亞
誰膏大衛為王？,撒母耳
誰領以色列人出埃及？,摩西
誰領以色列人進迦南？,約書亞
第一個見到復活後的耶穌的人是誰？,抹大拉的馬利亞
新約第一位殉道者是誰？,司提反
第一位殉道的使徒是誰？,雅各
士師記中，第一位士師是誰？,俄陀聶
亞伯拉罕原名是什麼？,亞伯蘭
上帝把誰從所多瑪城救出？,羅得一家
亞伯拉罕100歲才生的兒子叫什麼？,以撒
聖經中，最大年紀生子的是誰？多少歲？,挪亞500歲
聖經中，壽命最長的是誰？多少歲？,瑪土撒拉969歲
以色列人的祭司都是誰的子孫？,亞倫
希伯來書說耶穌是照著誰的等次永遠為祭司？,麥基洗德
誰伸手扶約櫃而被上帝擊殺？,烏撒
誰起先熱心逼迫教會，之後，悔改而成為使徒？,保羅
列王紀中，以色列亡於何國？,亞述
列王紀中，猶大於于何國？,巴比倫
分裂後的北國第一個王是誰？,耶羅波安
分裂後的南國第一個王是誰？,羅波安
哪位先知預言耶路撒冷荒涼到70年期滿？,耶利米
哪位先知預言童女懷孕生子？,以賽亞
哪位先知預言基督的出生地？,彌迦
除馬太福音外，還有哪卷有「天國」一詞？,提摩太後書
「天堂」一詞出現在哪二卷書？,希伯來書、彼得前書
「教會」一詞最早出現在哪卷書？,馬太福音
律法是藉著誰傳的？,摩西
在哪卷書耶穌應許賜下保惠師？,約翰福音
