題目,答案
rumors , 傳言
vanishing , 消失
engross, 吸引注意力
psychology, 心理學
lay eyes on , 注視
compliment, 讚賞
afterward, 然後
hack, 砍
hack something, 勝任
disbelief, 不信
carried out by , 誰幹的
put stock in , 相信
fit the profile, 符合形象
run into , 掉進/遇到/遭遇
peek, 偷看
peek in on someone, 看一眼
sneak peek, 先睹為快
combination, 組合
investigate, 調查
punch in , 輸入密碼
flustered, 結巴
theoretically, 理論上可能
no one v unless sub v, no one will enter the building unless they have a valid ID.
beef jerky ,牛肉乾
mentor,輔導
mentorship,師徒關係
portal,路由平台
retrieve,取回
wing,側(例如學校西側)
catch one's eye,吸引眼球
session,一場或一節
in session,正式會議中
cross reference,交义驗證
rocky history,處不好
slip into (place),溜進去
confront,到什麼面前
burst out,脫口而出(表現出)
freak out,害怕
stand out,特出
blend in,融入其中
suspend,停學
suspend one's disbelief,全心投入
suspender,吊帶褲
motive,動機
invisible,看不到
kind of,還好
if S were / could-might-could,與現在事實相反
dinnerware,餐具組
scarcely, 幾乎不
strengthen one's connect, 強化連結
confine,監禁
confinement,禁閉
communal, 共享共治
catch up, 聊近況/跟上
commune,交流
shift away from, 改變
varying, 不同
trend toward v-ing, 演變成
in demand, 需求大
not at all, 完全沒有
aspect, 方面
recharge, 充電
texture,材質
texturize,造出質地
set aside, 放一邊
distract,分心
apparent,明顯
spark,點燃
disposable,一次性
recharge one's battery,充電
be in present,活在當下
enjoy the moment,樂在當下
does it mean, 你是說
geyser,噴泉
approximately, 大概
approximation, 近似值
semi-circle,半圓
anticipation,預期
play out, 進行
erupt,噴發
like clockwork,定期
magma,地底岩漿
lava,出地岩漿
igneous rock,火成岩
crust, 地殼
mantle, 地函
build up, 不斷累積
accumulate,累積
accumulation,堆積
cumulative,漸增
boiling point, 沸點
upward,上升
burst,爆裂
left behind, 遺忘
chamber,室內
cluster,一群
contain,裝有
gaps of time,中斷時間
start up, 啟動
comprehend,理解
expel,釋出
shed light on, 釐清
conduct,進行
Not until ..did I, 直到我才
pesticide,殺蟲劑
harmful,有害的
harmless,無害的
cyberbully,網路霸凌
predator,獵人
prey,獵物
scam,詐騙
monitoring,監視
invasion,侵犯
invade,侵害
invasive,侵入性的
deserve,值得
cause n to, 造成
check up on it, 看著
check in, 到達
check out, 離開
spyware,間諜軟體
instead of (rather than), 與其
Kind of get it, 有點同情
creepy,怪怪的
creep,爬行
creepiness,陰森
mixed up in , 陷入
spy on , 盯著
step in, 介入
cut in, 打斷
butt in,瞎攪和
harass, 騒擾
harassment, 騒擾行為
frightened, 不敢
cross the line,越界
draw the line,畫線
what if , 要不
roam, 漫遊
roaming, 四處遊走的
roamer, 愛四處遊蕩的人
decline, 減少
remarkble, 明顯
endangered, 危急
majestic, 雄偉的
majesty, 坒下
habitat, 棲息地
poacher, 盜獵者
brink, 臨界
capture someone's imagination, 啟發想像
reintroduce, 復育
relaunch, 重新推出
N + keep + O +Ving, 使持續
extinct, 絕種
confrontation, 對抗
confront, 面對
quarduple, 4倍多
sanctuary, 保育區(避難所)
implement, 應用(執行)
offsrping, 後代
progeny, 後代
descendant, 後代
conservancy, 保護組織
potential, 潛能
triumph, 勝利
fight over, 爭奪
critically, 關鍵的
critical, 重要;危急;批判
have a long way to go, 還有長路要走
onging,進行中
make a difference, 使不再一樣
neuro,神經系統
neuroscience,神經科學
neurology,神經學
racing thoughts,想太多
eliminate,抺除
ancestry,祖先
ancestral,祖傳
overwhelmed,受不了
a little calm, (音"控") 冷靜
crush, 暗戀
gratitude journaling, 寫下感恩
harness,善用
appears to have found,似乎找到
reframing,重塑(看法)
motivation,動機
confessional,告解室
empathy,同理性(sympathy:同情心1)
channel your feelings, 調整
held us back, 扯後腿
separation anxiety,分離焦慮
anxiety attack, 焦慮攻擊
a bundle of nerves, 緊張焦慮
transformation,轉變
courage,勇氣
O suggest that O + 原V, 建議
sensory, 感官的
real-life,真實的
surpass,更好
navigable, 可航行的
echolocation, 回聲定位
emit,發出
bounce off,回彈
precision, 精準
set it off, 造成
come to one's sense, 發現自己白痴
make sense of, 查出解決方法
spinal cord, 脊椎
spineless, 無膽
recover from, 復原
grow back,長回來
..as far as.., 最遠到 / 就我所知
..as long as .., 只要..都可以
weird / weirdly , 奇怪的
weird out , 使人感到怪異
build-in, 內建
generating,產生
generator,發電機
foul,惡劣(音：發我)
foul play, 謀殺/不法行為
venom, 毒素
tansmitted,傳送
aim for,針對
substances,物質
weapon of choice, 好用工具
secret weapon,秘密武器
thaw,融化/緩和關係
freeze solid, 冷凍
circulaton,循環
inspire,啟發
such n1 as n2/ such as n1 n2, 就像
opt,選擇(V)
cellular tower, 基地台
legendary, 傳奇的
dunes, 丘
by day, 早上
by night, 晚上
snorkeling, 浮潛
corals, 珊瑚
fort, 堡壘
fortify, 強化
fortress, 大要塞
would rather..or.., 要..還是
would rather.. than, 寧願..
prosperity, 繁榮
prosperous, 繁華的
considerable amount, 挺多的
dine, 吃
wander, 瞎逛
timeless, 沒有時間性
frankincense, 香料
impermanent, 非永久
premanence, 之遠
pool prounge, 水泉
glimpse, 一撇
wadi pools, 甘泉
riverbeds, 水道
come to life, 活過來
shop around, 比價
shop till you drop , 逛到掛
window shopping , 只看不買
one-stop shop, 一店全有
talk shop, 談工作
sustainable, 永續
unsustainable, 無法永續
sustain, 支撑
warm culture, 友善文化
building for the future, 為未來而建造
shuold+O+V, 要是...


